REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Malta","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",87123
"Cyprus","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",190444
"Croatia","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",14112847
"Greece","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",14991481
"Portugal","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",15134201
"Luxembourg","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",17919591
"Bulgaria","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",41897608
"Ireland (Eire)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",48069482
"Slovenia","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",67377520
"Denmark","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",73481185
"Estonia","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",75705538
"Romania","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",85261676
"Slovakia","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",143223288
"Latvia","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",143407247
"Sweden","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",167622464
"Hungary","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",167879741
"Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",173345734
"Austria","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",198099638
"United Kingdom","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",285343082
"Finland","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",286593362
"Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",292466128
"Czechia","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",319523453
"Lithuania","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",354005107
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",443944577
"Netherlands","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",514438903
"Poland","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",603719788
"Italy (incl. San Marino 'SM' -> 1993)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",619385048
"Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",2246082786
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",5654467198
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",5668580045
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",7127965960
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Russian Federation (Russia)","Total","EXPORT","Total","Mar. 2019",7413309042
