REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Cyprus","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",43815
"Luxembourg","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",2322323
"Portugal","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",7046738
"Greece","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",9635152
"Croatia","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",18925723
"Romania","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",25396788
"Denmark","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",28818853
"Sweden","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",38325535
"Slovakia","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",45030136
"Bulgaria","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",46305606
"Ireland (Eire)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",47232609
"Estonia","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",68166413
"Czechia","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",80946687
"Hungary","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",84930355
"Finland","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",96276341
"Slovenia","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",97396872
"Spain (incl. Canary Islands 'XB' from 1997)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",125642344
"Austria","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",148937776
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",184121744
"Latvia","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",194321008
"Lithuania","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",232260611
"Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",247730673
"Poland","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",361915733
"Netherlands","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",399681618
"Italy (incl. San Marino 'SM' -> 1993)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",511565689
"Germany (incl. German Democratic Republic 'DD' from 1991)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",1012084189
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",3429496051
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",3448421774
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",4115061331
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Russian Federation (Russia)","Total","EXPORT","Total","Jul. 2022",4115061331
