REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Cyprus","Georgia","Total","EXPORT","Total","Sep. 2019",32820
"Luxembourg","Georgia","Total","EXPORT","Total","Sep. 2019",49139
"Estonia","Georgia","Total","EXPORT","Total","Sep. 2019",453422
"Croatia","Georgia","Total","EXPORT","Total","Sep. 2019",761123
"Portugal","Georgia","Total","EXPORT","Total","Sep. 2019",819968
"Slovakia","Georgia","Total","EXPORT","Total","Sep. 2019",851297
"Denmark","Georgia","Total","EXPORT","Total","Sep. 2019",919313
"Ireland (Eire)","Georgia","Total","EXPORT","Total","Sep. 2019",1529151
"Finland","Georgia","Total","EXPORT","Total","Sep. 2019",1730371
"Slovenia","Georgia","Total","EXPORT","Total","Sep. 2019",2096941
"Lithuania","Georgia","Total","EXPORT","Total","Sep. 2019",2893908
"Sweden","Georgia","Total","EXPORT","Total","Sep. 2019",3429283
"Latvia","Georgia","Total","EXPORT","Total","Sep. 2019",3731594
"Austria","Georgia","Total","EXPORT","Total","Sep. 2019",4196674
"Hungary","Georgia","Total","EXPORT","Total","Sep. 2019",4268058
"Belgium (incl. Luxembourg 'LU' -> 1998)","Georgia","Total","EXPORT","Total","Sep. 2019",4746927
"Spain (incl. Canary Islands 'XB' from 1997)","Georgia","Total","EXPORT","Total","Sep. 2019",6779316
"United Kingdom","Georgia","Total","EXPORT","Total","Sep. 2019",7388216
"Czechia","Georgia","Total","EXPORT","Total","Sep. 2019",7922536
"Greece","Georgia","Total","EXPORT","Total","Sep. 2019",7999014
"Netherlands","Georgia","Total","EXPORT","Total","Sep. 2019",9295465
"Poland","Georgia","Total","EXPORT","Total","Sep. 2019",11295962
"Bulgaria","Georgia","Total","EXPORT","Total","Sep. 2019",11840009
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Georgia","Total","EXPORT","Total","Sep. 2019",13082150
"Romania","Georgia","Total","EXPORT","Total","Sep. 2019",14450069
"Italy (incl. San Marino 'SM' -> 1993)","Georgia","Total","EXPORT","Total","Sep. 2019",30031045
"Germany (incl. German Democratic Republic 'DD' from 1991)","Georgia","Total","EXPORT","Total","Sep. 2019",35172359
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Georgia","Total","EXPORT","Total","Sep. 2019",125491561
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Georgia","Total","EXPORT","Total","Sep. 2019",126252684
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Georgia","Total","EXPORT","Total","Sep. 2019",180377914
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Georgia","Total","EXPORT","Total","Sep. 2019",187766130
