REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Chypre","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",1364
"Grèce","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",8944
"Luxembourg","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",18054
"Croatie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",90753
"Malte","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",95860
"Portugal","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",606469
"Roumanie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",750166
"Danemark","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",1098732
"Bulgarie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",1665716
"Suède","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",2244209
"Slovénie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",4229948
"Estonie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",4316359
"Slovaquie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",4877697
"Hongrie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",5132485
"Belgique (incl. Luxembourg 'LU' -> 1998)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",5169114
"Irlande (Eire)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",5968688
"Autriche","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",7208054
"Finlande","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",7704274
"Espagne (incl. Iles Canaries 'XB' depuis 1997)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",7957746
"Lettonie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",8495438
"France (incl. Saint-Barthélemy 'BL' -> 2012; incl. Guyane française 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' depuis 1997; incl. Mayotte 'YT' depuis 2014)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",12334121
"Tchéquie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",13600575
"Pays-Bas","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",17319529
"Lituanie","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",30394069
"Pologne","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",33601768
"Italie (incl. Saint-Marin 'SM' -> 1993)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",46690167
"Allemagne (incl. République démocratique allemande 'DD' depuis 1991)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",70312602
"Zone euro (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",233799250
"Zone euro - 20 pays (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",233799250
"Union européenne (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",291892901
"Union européenne - 27 pays (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Uzbekistan","Total","EXPORTATION","Total","Feb. 2023",291892901
