REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
Malta,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,76852
Cyprus,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,79733
Greece,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,178774
Portugal,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,202728
Luxembourg,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,762594
Ireland (Eire),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,1842209
Croatia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,2003420
Denmark,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,2506389
Bulgaria,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,2667481
Slovenia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,3784766
Latvia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,5122960
Romania,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,5806195
Estonia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,6497756
Slovakia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,6516504
Spain (incl. Canary Islands 'XB' from 1997),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,6623096
Sweden,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,8247272
Finland,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,9499253
Hungary,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,12233834
Czechia,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,17055256
Austria,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,18538226
Lithuania,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,32902899
Belgium (incl. Luxembourg 'LU' -> 1998),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,36532208
Netherlands,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,54290563
Italy (incl. San Marino 'SM' -> 1993),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,74058001
Poland,Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,75794316
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,122520742
Germany (incl. German Democratic Republic 'DD' from 1991),Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,137280983
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,517310847
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,519314267
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,643625010
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",Kazakhstan,TOTAL-Total,2-EXPORT,T-Total,Mar. 2020,643625010
