REPORTER,PARTNER,PRODUCT,FLOW,STAT_PROCEDURE,PERIOD,VALUE_IN_EUR
"Cyprus","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",68394
"Luxembourg","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",118273
"Portugal","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",180844
"Greece","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",594697
"Croatia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",1164534
"Romania","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",1193836
"Ireland (Eire)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",1557961
"Slovenia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",2092323
"Bulgaria","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",2374063
"Denmark","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",2961161
"Estonia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",3179367
"Slovakia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",4582067
"Latvia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",5104929
"Finland","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",8064497
"Spain (incl. Canary Islands 'XB' from 1997)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",10458351
"Sweden","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",11394347
"Hungary","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",12159978
"Czechia","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",12327148
"Austria","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",17374810
"Lithuania","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",30881593
"Netherlands","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",41646701
"Belgium (incl. Luxembourg 'LU' -> 1998)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",46645239
"Italy (incl. San Marino 'SM' -> 1993)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",48085178
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",48901933
"Poland","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",86084662
"Germany (incl. German Democratic Republic 'DD' from 1991)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",177698550
"Euro area (AT-01/1999, BE-01/1999, CY-01/2008, DE-01/1999, EE-01/2011, ES-01/1999, FI-01/1999, FR-01/1999, GR-01/2001, HR-01/2023, IE-01/1999, IT-01/1999, LT-01/2015, LU-01/1999, LV-01/2014, MT-01/2008, NL-01/1999, PT-01/1999, SI-01/2007, SK-01/2009)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",447235707
"Euro area - 20 countries (AT, BE, CY, DE, EE, ES, FI, FR, GR, HR, IE, IT, LT, LU, LV, MT, NL, PT, SI, SK)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",448400241
"European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",576895436
"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)","Kazakhstan","TOTAL-Total","2-EXPORT","T-Total","202103-Mar. 2021",576895436
